Environment,Algorithm,Seed,Current Step,Mean Reward,Standard Deviation Reward,Success Rate,Training Time,Mean Episode Length
CartPole-v1,A2C,666,100000,500.0,0.0,100.0,58.37333941459656,500.0
CartPole-v1,PPO,7,5000,228.8,154.9043575888038,20.0,2.70746111869812,228.8
CartPole-v1,PPO,7,10000,441.8,91.41640990544312,60.0,5.263756275177002,441.8
CartPole-v1,PPO,7,15000,500.0,0.0,100.0,7.900681734085083,500.0
CartPole-v1,PPO,7,20000,500.0,0.0,100.0,10.575581789016724,500.0
CartPole-v1,PPO,7,25000,500.0,0.0,100.0,13.228253364562988,500.0
CartPole-v1,PPO,7,30000,500.0,0.0,100.0,15.793126344680786,500.0
CartPole-v1,PPO,7,35000,500.0,0.0,100.0,18.62540864944458,500.0
CartPole-v1,PPO,7,40000,500.0,0.0,100.0,21.651408910751343,500.0
CartPole-v1,PPO,7,45000,500.0,0.0,100.0,24.576423406600952,500.0
CartPole-v1,PPO,7,50000,500.0,0.0,100.0,27.43516755104065,500.0
CartPole-v1,PPO,7,55000,500.0,0.0,100.0,30.295443296432495,500.0
CartPole-v1,PPO,7,60000,500.0,0.0,100.0,33.064403772354126,500.0
CartPole-v1,PPO,7,65000,500.0,0.0,100.0,35.82213091850281,500.0
CartPole-v1,PPO,7,70000,500.0,0.0,100.0,38.63562560081482,500.0
CartPole-v1,PPO,7,75000,500.0,0.0,100.0,41.435428619384766,500.0
CartPole-v1,PPO,7,80000,500.0,0.0,100.0,44.20272088050842,500.0
CartPole-v1,PPO,7,85000,500.0,0.0,100.0,46.99045944213867,500.0
CartPole-v1,PPO,7,90000,500.0,0.0,100.0,49.80143690109253,500.0
CartPole-v1,PPO,7,95000,500.0,0.0,100.0,52.58839702606201,500.0
CartPole-v1,PPO,7,100000,500.0,0.0,100.0,55.369067907333374,500.0
CartPole-v1,PPO,42,5000,282.6,136.16548755099436,0.0,2.8341705799102783,282.6
CartPole-v1,PPO,42,10000,338.2,106.72656651462184,0.0,5.611359357833862,338.2
CartPole-v1,PPO,42,15000,325.4,37.52119401085205,0.0,8.348527908325195,325.4
CartPole-v1,PPO,42,20000,494.4,6.590902821313632,40.0,11.100472450256348,494.4
CartPole-v1,PPO,42,25000,500.0,0.0,100.0,13.896126508712769,500.0
CartPole-v1,PPO,42,30000,500.0,0.0,100.0,16.63620924949646,500.0
CartPole-v1,PPO,42,35000,500.0,0.0,100.0,19.423058032989502,500.0
CartPole-v1,PPO,42,40000,500.0,0.0,100.0,22.219116926193237,500.0
CartPole-v1,PPO,42,45000,500.0,0.0,100.0,25.003907918930054,500.0
CartPole-v1,PPO,42,50000,500.0,0.0,100.0,27.730154037475586,500.0
CartPole-v1,PPO,42,55000,500.0,0.0,100.0,30.522658824920654,500.0
CartPole-v1,PPO,42,60000,500.0,0.0,100.0,33.33162808418274,500.0
CartPole-v1,PPO,42,65000,500.0,0.0,100.0,36.10642671585083,500.0
CartPole-v1,PPO,42,70000,500.0,0.0,100.0,38.890557289123535,500.0
CartPole-v1,PPO,42,75000,500.0,0.0,100.0,41.69278287887573,500.0
CartPole-v1,PPO,42,80000,500.0,0.0,100.0,44.48353624343872,500.0
CartPole-v1,PPO,42,85000,500.0,0.0,100.0,47.24262070655823,500.0
CartPole-v1,PPO,42,90000,500.0,0.0,100.0,50.02015805244446,500.0
CartPole-v1,PPO,42,95000,500.0,0.0,100.0,52.79689884185791,500.0
CartPole-v1,PPO,42,100000,500.0,0.0,100.0,55.56146168708801,500.0
CartPole-v1,PPO,1337,5000,409.0,111.55267813907473,60.0,2.830130100250244,409.0
CartPole-v1,PPO,1337,10000,496.2,7.6000000000000005,80.0,5.614802360534668,496.2
CartPole-v1,PPO,1337,15000,500.0,0.0,100.0,8.40960168838501,500.0
CartPole-v1,PPO,1337,20000,500.0,0.0,100.0,11.182340145111084,500.0
CartPole-v1,PPO,1337,25000,500.0,0.0,100.0,13.929636478424072,500.0
CartPole-v1,PPO,1337,30000,500.0,0.0,100.0,16.73574948310852,500.0
CartPole-v1,PPO,1337,35000,500.0,0.0,100.0,19.512611150741577,500.0
CartPole-v1,PPO,1337,40000,500.0,0.0,100.0,22.30251932144165,500.0
CartPole-v1,PPO,1337,45000,500.0,0.0,100.0,25.07237458229065,500.0
CartPole-v1,PPO,1337,50000,500.0,0.0,100.0,27.84051537513733,500.0
CartPole-v1,PPO,1337,55000,500.0,0.0,100.0,30.649161100387573,500.0
CartPole-v1,PPO,1337,60000,500.0,0.0,100.0,33.471372842788696,500.0
CartPole-v1,PPO,1337,65000,500.0,0.0,100.0,36.26893758773804,500.0
CartPole-v1,PPO,1337,70000,500.0,0.0,100.0,39.03804135322571,500.0
CartPole-v1,PPO,1337,75000,500.0,0.0,100.0,41.850446462631226,500.0
CartPole-v1,PPO,1337,80000,500.0,0.0,100.0,44.63775968551636,500.0
CartPole-v1,PPO,1337,85000,500.0,0.0,100.0,47.40989565849304,500.0
CartPole-v1,PPO,1337,90000,500.0,0.0,100.0,50.19883060455322,500.0
CartPole-v1,PPO,1337,95000,500.0,0.0,100.0,52.960185050964355,500.0
CartPole-v1,PPO,1337,100000,500.0,0.0,100.0,55.785568714141846,500.0
CartPole-v1,PPO,12345,5000,296.2,111.40807870168123,0.0,2.820105791091919,296.2
CartPole-v1,PPO,12345,10000,406.4,117.81782547645327,60.0,5.547580003738403,406.4
CartPole-v1,PPO,12345,15000,500.0,0.0,100.0,8.316961288452148,500.0
CartPole-v1,PPO,12345,20000,500.0,0.0,100.0,11.11670732498169,500.0
CartPole-v1,PPO,12345,25000,500.0,0.0,100.0,13.893469095230103,500.0
CartPole-v1,PPO,12345,30000,500.0,0.0,100.0,16.68543291091919,500.0
CartPole-v1,PPO,12345,35000,500.0,0.0,100.0,19.486459016799927,500.0
CartPole-v1,PPO,12345,40000,500.0,0.0,100.0,22.27181577682495,500.0
CartPole-v1,PPO,12345,45000,500.0,0.0,100.0,25.046191453933716,500.0
CartPole-v1,PPO,12345,50000,500.0,0.0,100.0,27.78279948234558,500.0
CartPole-v1,PPO,12345,55000,500.0,0.0,100.0,30.553338527679443,500.0
CartPole-v1,PPO,12345,60000,500.0,0.0,100.0,33.33141851425171,500.0
CartPole-v1,PPO,12345,65000,500.0,0.0,100.0,36.113956451416016,500.0
CartPole-v1,PPO,12345,70000,500.0,0.0,100.0,38.89174222946167,500.0
CartPole-v1,PPO,12345,75000,500.0,0.0,100.0,41.68965220451355,500.0
CartPole-v1,PPO,12345,80000,500.0,0.0,100.0,44.51129174232483,500.0
CartPole-v1,PPO,12345,85000,500.0,0.0,100.0,47.27796125411987,500.0
CartPole-v1,PPO,12345,90000,500.0,0.0,100.0,50.03436732292175,500.0
CartPole-v1,PPO,12345,95000,500.0,0.0,100.0,52.78614020347595,500.0
CartPole-v1,PPO,12345,100000,500.0,0.0,100.0,55.53740477561951,500.0
CartPole-v1,PPO,666,5000,253.6,201.44041302578788,40.0,2.8394548892974854,253.6
CartPole-v1,PPO,666,10000,344.8,109.47036128560096,20.0,5.646401882171631,344.8
CartPole-v1,PPO,666,15000,492.8,14.4,80.0,8.40175485610962,492.8
CartPole-v1,PPO,666,20000,500.0,0.0,100.0,11.142618656158447,500.0
CartPole-v1,PPO,666,25000,500.0,0.0,100.0,13.934359073638916,500.0
CartPole-v1,PPO,666,30000,500.0,0.0,100.0,16.69196319580078,500.0
CartPole-v1,PPO,666,35000,500.0,0.0,100.0,19.4964656829834,500.0
CartPole-v1,PPO,666,40000,500.0,0.0,100.0,22.304831743240356,500.0
