Environment,Algorithm,Seed,Current Step,Mean Reward,Standard Deviation Reward,Success Rate,Training Time,Mean Episode Length
CartPole-v1,REINFORCE,7,7,43.6,10.96540012949824,0.0,0.025020360946655273,43.6
CartPole-v1,REINFORCE,7,8,39.8,19.610201426808445,0.0,0.029519081115722656,39.8
CartPole-v1,REINFORCE,7,9,58.4,21.14332045824402,0.0,0.03201913833618164,58.4
CartPole-v1,REINFORCE,7,10,38.8,7.222188034107115,0.0,0.03552079200744629,38.8
CartPole-v1,REINFORCE,42,1,81.8,34.00823429700519,0.0,0.003999233245849609,81.8
CartPole-v1,REINFORCE,42,2,52.4,8.404760555780278,0.0,0.006499052047729492,52.4
CartPole-v1,REINFORCE,42,3,52.4,16.81190054693401,0.0,0.010006189346313477,52.4
CartPole-v1,REINFORCE,42,4,63.0,10.545141061171254,0.0,0.013507366180419922,63.0
CartPole-v1,REINFORCE,42,5,47.2,7.35934779718964,0.0,0.016507863998413086,47.2
CartPole-v1,REINFORCE,42,6,58.0,11.610340218959994,0.0,0.0195157527923584,58.0
CartPole-v1,REINFORCE,42,7,66.8,11.285388783732706,0.0,0.02251911163330078,66.8
CartPole-v1,REINFORCE,42,8,59.4,14.10815367083872,0.0,0.025523662567138672,59.4
CartPole-v1,REINFORCE,42,9,74.4,23.286047324524613,0.0,0.028523683547973633,74.4
CartPole-v1,REINFORCE,42,10,61.2,18.861601204563733,0.0,0.032033681869506836,61.2
CartPole-v1,REINFORCE,1337,1,81.2,22.79824554653274,0.0,0.004002094268798828,81.2
CartPole-v1,REINFORCE,1337,2,71.6,30.748008065564182,0.0,0.00753021240234375,71.6
CartPole-v1,REINFORCE,1337,3,36.8,6.11228271597445,0.0,0.011030197143554688,36.8
CartPole-v1,REINFORCE,1337,4,39.2,5.15363949069005,0.0,0.014039039611816406,39.2
CartPole-v1,REINFORCE,1337,5,43.4,8.546344247688598,0.0,0.0170440673828125,43.4
CartPole-v1,REINFORCE,1337,6,50.0,24.649543606322613,0.0,0.02004384994506836,50.0
CartPole-v1,REINFORCE,1337,7,48.2,20.5951450589696,0.0,0.023543357849121094,48.2
CartPole-v1,REINFORCE,1337,8,39.6,10.594338110519223,0.0,0.026543378829956055,39.6
CartPole-v1,REINFORCE,1337,9,50.8,10.703270528207721,0.0,0.029547452926635742,50.8
CartPole-v1,REINFORCE,1337,10,38.8,7.11055553385247,0.0,0.033048152923583984,38.8
CartPole-v1,REINFORCE,12345,1,9.4,0.48989794855663565,0.0,0.003498077392578125,9.4
CartPole-v1,REINFORCE,12345,2,78.6,23.60169485439552,0.0,0.0064961910247802734,78.6
CartPole-v1,REINFORCE,12345,3,38.0,11.713240371477058,0.0,0.00999903678894043,38.0
CartPole-v1,REINFORCE,12345,4,76.8,41.873141749813804,0.0,0.012998819351196289,76.8
CartPole-v1,REINFORCE,12345,5,105.4,26.310454196003533,0.0,0.01599907875061035,105.4
CartPole-v1,REINFORCE,12345,6,69.0,13.66747965061591,0.0,0.019000768661499023,69.0
CartPole-v1,REINFORCE,12345,7,87.6,35.2,0.0,0.02200150489807129,87.6
CartPole-v1,REINFORCE,12345,8,63.8,13.422369388450013,0.0,0.02601766586303711,63.8
CartPole-v1,REINFORCE,12345,9,214.4,123.13667203558816,0.0,0.029017925262451172,214.4
CartPole-v1,REINFORCE,12345,10,185.4,99.98719918069511,0.0,0.032018184661865234,185.4
CartPole-v1,REINFORCE,666,1,58.0,19.421637418096342,0.0,0.0034995079040527344,58.0
CartPole-v1,REINFORCE,666,2,9.4,0.48989794855663565,0.0,0.0070035457611083984,9.4
CartPole-v1,REINFORCE,666,3,9.0,0.6324555320336759,0.0,0.010013818740844727,9.0
CartPole-v1,REINFORCE,666,4,9.0,0.8944271909999159,0.0,0.013012886047363281,9.0
CartPole-v1,REINFORCE,666,5,9.4,0.7999999999999999,0.0,0.016527414321899414,9.4
CartPole-v1,REINFORCE,666,6,9.2,0.39999999999999997,0.0,0.019530296325683594,9.2
CartPole-v1,REINFORCE,666,7,9.4,0.48989794855663565,0.0,0.022541284561157227,9.4
CartPole-v1,REINFORCE,666,8,9.6,0.48989794855663565,0.0,0.025541305541992188,9.6
